id,label
16958805,Budget Before Borrowing Act of 2012
16958803,Small Business Growth and Federal Accountability Act of 2012
16958785,"To amend the Internal Revenue Code of 1986 to allow an ordinary and necessary business expense deduction for contributions to regional infrastructure improvement zones, and for other purposes."
16958777,To repeal section 1021 of the National Defense Authorization Act for Fiscal Year 2012.
16958751,Inland Empire Perchlorate Ground Water Plume Assessment Act of 2011
16958793,Recognizing the significance of the 45th anniversary of Kwanzaa Week.
16958761,"Addressing a motion to proceed under section 3101A of title 31, United States Code."
16958797,Honoring Apostle Frederick K.C. Price on his 80th birthday.
16958781,Muhammad Ali Legacy Act
16958791,Jobs Score Act of 2012
16958775,To commemorate the 150th Anniversary of the Battle of Mill Springs and the significance of this battle during the Civil War.
16958771,Congratulating the University of Alabama Crimson Tide football team for winning the 2011 Bowl Championship Series National Championship.
16958739,Wildlife Refuge System Conservation Semipostal Stamp Act of 2011
16958737,Gas Price Spike Act of 2012
16958733,Domestic Alternative Fuels Act of 2012
16958729,Improving Cancer Treatment Education Act of 2012
16958673,POST Act
16958663,Closing the Derivatives Blended Rate Loophole Act
16958697,To provide for the establishment of the Special Envoy to Promote Religious Freedom of Religious Minorities in the Near East and South Central Asia.
16958723,National Pro-Life Waiting Period Act of 2012
16958679,A resolution expressing the sense of the Senate that the United States should work with the Government of Haiti to address gender-based violence against women and children.
16958657,S.Amdt.1468
16958717,Ultrasound Informed Consent Act
16958707,Do Your Job Act
16958685,"A joint resolution relating to the disapproval of the President's exercise of authority to increase the debt limit, as submitted under section 3101A of title 31, United States Code, on January 12, 2012"
16958689,Fairness for High-Skilled Immigrants Act of 2011
16958699,PROTECT IP Act of 2011
16958491,Providing for a joint session of Congress to receive a message from the President.
16958449,Syria Human Rights Accountability Act of 2012
16958483,"To amend title 23, United States Code, to modify a provision relating to minimum penalties for repeat offenders for driving while intoxicated or driving under the influence, and for other purposes."
16958475,Biennial Budgeting and Appropriations Act of 2011
16958437,Frank Buckles World War I Memorial Act
16958523,Health Freedom for Seniors Act
16958419,To modify a land grant patent issued by the Secretary of the Interior.
16958503,Elder Care Tax Credit Act of 2012
16958453,Expressing the sense of the House of Representatives that the passage of a fiscal year 2013 Federal budget is of national importance.
16958515,"Expressing the sense of the House of Representatives that the Palestine Liberation Organization should not be allowed to maintain an official office in Washington, D.C."
16958495,"Expressing support for designation of the week of February 6 through February 10, 2012, as ""National School Counseling Week""."
16958417,Recreational Shooting Protection Act
16958461,A resolution congratulating the North Dakota State University football team for winning the 2011 National Collegiate Athletic Association Division I Football Championship Subdivision title.
16958511,"To amend the Energy Policy and Conservation Act to improve the energy efficiency of electric instantaneous water heaters, and for other purposes."
16958499,To require the Nuclear Regulatory Commission to retain and redistribute certain amounts collected as fines.
16958425,"To direct the Secretary of the Interior to conduct a special resources study regarding the suitability and feasibility of designating the John Hope Franklin Reconciliation Park and other sites in Tulsa, Oklahoma, relating to the 1921 Tulsa race riot as a unit of the Nat..."
16958471,"A joint resolution proposing an amendment to the Constitution of the United States relative to authorizing regulation of contributions to candidates for State public office and Federal office by corporations, entities organized and operated for profit, and labor organiz..."
16958479,Permanent Electronic Duck Stamp Act of 2012
16958409,"To restrict the provision of defense articles and defense services to the Government of Iraq, and for other purposes."
16958391,Law Enforcement Torture Prevention Act of 2011
16958375,E911 Surcharge Fairness Act of 2011
16958367,Sports Gaming Opportunity Act of 2012
16958355,New Jersey Betting and Equal Treatment Act of 2012
16958345,Pilot's Bill of Rights
16958411,"Expressing the sense of the House of Representatives that the United States should not consider releasing Taliban prisoners, Abdul Haq Wasiq, Mullah Norullah Noori, Mullah Mohammed Fazl, and Mullah Khairullah Khairkhwa, from prison in Guantanamo Bay, Cuba, until Mullah ..."
16958403,Proposing an amendment to the Constitution of the United States regarding the use of public funds to pay for campaigns for election to Federal office.
16958399,Proposing an amendment to the Constitution of the United States to require that an increase in the Federal debt requires approval from a majority of the legislatures of the several States.
16958387,OPEN Act
16958359,One Subject at a Time Act
16958349,Disapproving of the President's appointment of four officers or employees of the United States during a period when no recess of the Congress for a period of more than three days was authorized by concurrent resolution and expressing the sense of the House of Representa...
16958405,LNG Excise Tax Equalization Act of 2012
16958383,Plain Regulations Act of 2012
16958167,Thunder Bay National Marine Sanctuary and Underwater Preserve Boundary Modification Act
16958149,Coast Guard Authorization Act for Fiscal Years 2012 and 2013
16958135,Feral Swine Eradication and Control Pilot Program Act of 2011
16958337,Workforce Residential Housing Act of 2011
16958139,San Francisco Bay Restoration Act
16958151,Airline First Responder Workplace Fairness Act
16958129,S.Amdt.1469
16958145,"A resolution honoring the memory of Special Agent Jared Francom of the Ogden, Utah Police Department."
16958147,"Relating to the disapproval of the President's exercise of authority to increase the debt limit, as submitted under section 3101A of title 31, United States Code, on January 12, 2012."
16958143,Chesapeake Bay Gateways and Watertrails Network Reauthorization Act
16958131,Budget Before Borrowing Act of 2012
16958329,A resolution honoring the life of dissident and democracy activist Wilman Villar Mendoza and condemning the Castro regime for the death of Wilman Villar Mendoza.
16958319,"To direct the Secretary of the Interior to conduct a special resource study to evaluate the significance of the Mill Springs Battlefield located in Pulaski and Wayne Counties, Kentucky, and the feasibility of its inclusion in the National Park System, and for other purp..."
16958179,War Memorial Protection Act
16958177,Buffalo Soldiers in the National Parks Study Act
16958175,World War II Memorial Prayer Act of 2012
16958157,Older Americans Act Amendments of 2012
16958155,International Fisheries Stewardship and Enforcement Act
16958333,Commercial Seafood Consumer Protection Act
16958159,National Baseball Hall of Fame Commemorative Coin Act
16958127,Expressing the sense of Congress in honor of the life and legacy of Vaclav Havel.
16958115,SBA Loan Paperwork Reduction Act of 2012
16958119,Honoring the Northwest Kidney Centers on its 50th anniversary.
16958085,Sport Fish Restoration and Recreational Boating Safety Act of 2011
16958089,Pacific Salmon Stronghold Conservation Act of 2011
16958101,DRIVES Act of 2012
16958067,A resolution commemorating the 150th anniversary of the Battle of Mill Springs and the significance of the battle to the Civil War.
16958105,S.Amdt.1475
16958069,Fighting Fraud to Protect Taxpayers Act of 2011
16958099,Bridge to Jobs Act
16958093,Port Opportunity Reinvestment and Training Act
16958055,Religious Freedom Restoration Act of 2012
16958059,"A resolution expressing support for the designation of January 28, 2012, as ""National Data Privacy Day""."
16957893,A concurrent resolution expressing the sense of Congress in honor of the life and legacy of Vaclav Havel.
16957719,"A bill to amend title 5, United States Code, to provide that the legal public holiday for the birthday of George Washington take place on February 22, rather than on the third Monday in February."
16957709,Airport and Airway Extension Act of 2012
16958033,A bill to require the Under Secretary for Science and Technology in the Department of Homeland Security to contract with an independent laboratory to study the health effects of backscatter x-ray machines used at airline checkpoints operated by the Transportation Securi...
16957915,Visa Waiver Program Enhanced Security and Reform Act
16957909,Student-to-School Nurse Ratio Improvement Act of 2012
16957895,Border Tunnel Prevention Act of 2011
16957901,Small Business Tax Extenders Act of 2012
16957907,"A bill to amend the Internal Revenue Code of 1986 to clarify the tax treatment of certain life insurance contract transactions, and for other purposes."
16957949,To provide that Members of Congress shall not receive a cost of living adjustment in pay during 2013.
16957941,Protecting Foods and Beverages from Government Attack Act of 2012
16957939,SOUND Devices Act of 2012
16957959,Narrowing Exceptions for Withholding Taxes Act of 2012
16958037,Elko Motocross and Tribal Conveyance Act
16957259,S.Amdt.1487 to S.Amdt.1470
16957251,S.Amdt.1485 to S.Amdt.1470
16957715,"A resolution recognizing May 16, 2012, as Hereditary Angioedema Awareness Day and expressing the sense of the Senate that more research and treatments are needed for Hereditary Angioedema."
16957235,S.Amdt.1472 to S.Amdt.1470
16957705,S.Amdt.1495
16957213,S.Amdt.1471 to S.Amdt.1470
16957207,S.Amdt.1473 to S.Amdt.1470
16957199,S.Amdt.1488 to S.Amdt.1470
16957301,S.Amdt.1476 to S.Amdt.1470
16957297,S.Amdt.1490 to S.Amdt.1470
16957425,S.Amdt.1478 to S.Amdt.1470
16957421,S.Amdt.1477 to S.Amdt.1470
16957415,S.Amdt.1474 to S.Amdt.1470
16957891,A resolution commending Alan S. Frumin on his service to the United States Senate.
16957169,S.Amdt.1481 to S.Amdt.1470
16957881,Providing for consideration of the bill (H.R. 1173) to repeal the CLASS program.
16957163,S.Amdt.1470
16957879,A resolution recognizing the goals of National Catholic Schools Week and honoring the valuable contributions of Catholic schools in the United States.
16957265,S.Amdt.1482 to S.Amdt.1470
16957263,S.Amdt.1484 to S.Amdt.1470
16957861,A resolution congratulating the Pittsburg State University Gorillas football team for winning the 2011 NCAA Division II Football Championship.
16957857,"A resolution designating the month of February 2012 as ""National Teen Dating Violence Awareness and Prevention Month""."
16957853,A resolution congratulating the University of Alabama Crimson Tide football team for winning the 2011 Bowl Championship Series National Championship.
16957209,S.Amdt.1483 to S.Amdt.1470
16958047,S.Amdt.1479
16958041,S.Amdt.1494 to S.Amdt.1470
16958039,S.Amdt.1486
16958043,S.Amdt.1480
16957849,"A resolution raising awareness and encouraging prevention of stalking by designating January 2012 as ""National Stalking Awareness Month""."
16957889,A bill to amend the Higher Education Act of 1965 to extend the reduced interest rate for Federal Direct Stafford Loans.
16958031,"Recognizing the 40th anniversary of the National Cancer Act of 1971 and the more than 12,000,000 survivors of cancer alive today because of the commitment of the United States to cancer research and advances in cancer prevention, detection, diagnosis, and treatment...."
16957957,To amend the Internal Revenue Code of 1986 to disallow a deduction for amounts paid or incurred by a responsible party relating to a discharge of oil.
16957929,"Energy and Water Development and Related Agencies Appropriations Act, 2012"
16957921,Legally Binding Budget Act of 2011
16958049,Keystone For a Secure Tomorrow Act
16957905,"Currency Optimization, Innovation, and National Savings Act"
16957629,"A bill to amend title XVIII of the Social Security Act to allow physician assistants, nurse practitioners, and clinical nurse specialists to supervise cardiac, intensive cardiac, and pulmonary rehabilitation programs."
16957581,Fair Military Leave Act
16957555,H.Amdt.910
16957553,H.Amdt.912
16957541,H.Amdt.911
16957537,H.Amdt.913
16957535,SOAR Technical Corrections Act
16957575,Medicare Hospice Care Access Act of 2012
16957667,Financial Institutions Examination Fairness and Reform Act
16957665,College Tax Cut Extension Act of 2012
16957623,Transit Related Investment Improvement Act of 2012
16957617,State Waters Partnership Act of 2012
16957589,End Discriminatory State Taxes for Automobile Renters Act of 2011
16957585,Stop Trading on Congressional Knowledge Act
16957691,S.Amdt.1497
16957255,S.Amdt.1491 to S.Amdt.1470
16957249,S.Amdt.1489 to S.Amdt.1470
16957677,S.Amdt.1506
16957239,S.Amdt.1498 to S.Amdt.1470
16957703,S.Amdt.1502
16957701,S.Amdt.1509
16957699,S.Amdt.1499
16957695,S.Amdt.1507
16957687,S.Amdt.1501 to S.Amdt.1472 (which amends S.Amdt.1470)
16957683,S.Amdt.1508
16957681,S.Amdt.1504
16957289,S.Amdt.1503 to S.Amdt.1470
16957625,Adjusting the amount provided for the expenses of certain committees of the House of Representatives in the One Hundred Twelfth Congress.
16957217,S.Amdt.1500 to S.Amdt.1470
16957669,S.Amdt.1496
16957295,S.Amdt.1492 to S.Amdt.1470
16957565,A resolution honoring the life of dissident and democracy activist Wilman Villar Mendoza and condemning the Castro regime for the death of Wilman Villar Mendoza.
16957707,Supporting the contributions of Catholic schools.
16957647,Jumpstarting Transit-Oriented Development Act
